gene_celltype,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,cell_type,gene,abs_lfc,expression_0.99
Gsta4_Gut/Liver,0.9440999999999999,0.055900000000000005,2.827831288121159,0.00030186085,0.00014075007,0.0,0.25,1.3729372,1.4390647,2.949073,-8.759615,10.694236,4.418454269554421,1.2225382579296225,0.3466019943637543,0.15531996530094777,3.060267618341288,0.965156904136783,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Gsta4,1.3729372,21.389271497726497
Gstm5_Gut/Liver,0.9402999999999999,0.05970000000000003,2.7631789430565874,1.5913945e-05,4.253473e-06,0.0,0.25,1.8791168,1.8940415,1.4029293,-2.932788,6.7183475,0.15882363084563378,0.022554384091819032,0.08940765228701493,0.019779572045019796,0.12483867256598322,0.016569300120274272,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Gstm5,1.8791168,0.5220006963610655
Guca2a_Gut/Liver,0.9534,0.046599999999999975,3.018580826647068,5.2354422e-05,2.3150027e-05,0.0,0.25,1.5509174,1.6364937,3.3816242,-9.071953,11.349608,0.5963630451490843,0.2382167801058766,0.1274498452988589,0.058729814493527294,0.4823911448457278,0.21824286977825222,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Guca2a,1.5509174,4.337607545852664
Guca2b_Gut/Liver,0.9413,0.058699999999999974,2.7775018636654116,0.00016874983,8.514678e-05,0.0,0.25,1.3164468,1.3778856,2.9168296,-8.7421875,10.151758,2.8509658967739404,1.1492031451577023,0.18024407307411838,0.10006005605231555,2.089228051452036,0.9409895015364822,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Guca2b,1.3164468,14.034886202812201
Heph_Gut/Liver,0.9347,0.06530000000000002,2.6653120338533043,4.3822263e-05,1.7524133e-05,0.0,0.25,1.6566143,1.6569371,2.3954864,-5.7219033,9.205261,0.33243255227321966,0.09168835357444727,0.14899468892260995,0.04597068374927711,0.26138732976209483,0.08082232328620478,0.5,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Heph,1.6566143,2.388897312879563
Hk3_Gut/Liver,0.9502999999999999,0.04970000000000002,2.950790768884675,3.99879e-06,1.3221381e-05,0.0,0.25,-2.0669012,-2.0510838,2.8596845,-11.197676,7.237173,0.01706269830321424,0.1148516393077984,0.011645694972705595,0.06418490591218473,0.01469363362227917,0.12205710122361468,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Hk3,2.0669012,0.580785768032074
Hnf4a_Gut/Liver,0.9424,0.057599999999999985,2.7949130878738764,8.604793e-06,2.7230215e-06,0.0,0.25,1.9464074,1.9938431,2.6847086,-8.582601,11.895031,0.10576458821906469,0.02396959384314249,0.05561727725991761,0.018570109880332752,0.07743758623772258,0.023982360998176203,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Hnf4a,1.9464074,0.5687852564454081
Hsd17b2_Gut/Liver,0.9260999999999999,0.07390000000000002,2.528532246225172,2.2627677e-05,9.14246e-06,0.0,0.25,1.4309742,1.3344269,2.4449604,-7.0685163,10.484334,0.17936217803440863,0.04435806752969438,0.06618646906962534,0.015692424040215314,0.14506634043129862,0.037929631209006776,0.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Hsd17b2,1.4309742,1.3887851488590266
Hsd17b6_Gut/Liver,0.9434,0.05660000000000004,2.8135372079449628,9.580789e-05,4.4610017e-05,0.0,0.25,1.6707335,1.7248716,2.9752474,-7.748551,10.673176,0.9189900577419543,0.32638796209795795,0.2369908164672955,0.0965818096890432,0.674588144172592,0.2969288113893902,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Hsd17b6,1.6707335,5.510095076560986
Ifi27l2b_Gut/Liver,0.9384,0.06159999999999999,2.723703238758914,8.443359e-05,3.955011e-05,0.0,0.25,1.3388078,1.3021033,3.0631309,-9.095947,11.106287,1.0536034526929823,0.4612304817829973,0.18137353920737811,0.07553716802348862,0.8173729231513445,0.5168001859277319,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Ifi27l2b,1.3388078,7.460796182155617
