gene_celltype,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,cell_type,gene,abs_lfc,expression_0.99
Gdpd3_Goblet,0.9322999999999999,0.06770000000000004,2.626106662623126,9.879855e-06,1.7879745e-05,0.0,0.25,-1.3965878,-1.4528041,2.7256608,-7.881943,7.3073487,0.057389162561576355,0.2044642857142857,0.04014778325123153,0.13154761904761908,0.08272935775174803,0.13942178384982445,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Gdpd3,1.3965878,0.931771908998489
Gsdma_Goblet,0.9473,0.052700000000000025,2.894865802585316,3.6573943e-05,8.5578664e-05,0.0,0.25,-1.6799109,-1.7806821,2.9355662,-9.267165,8.423839,0.19211822660098524,1.2497023809523802,0.07167487684729064,0.2863095238095237,0.18978521558436598,0.8555968260798582,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Gsdma,1.6799109,5.1349246644973725
Hebp2_Goblet,0.9284,0.0716,2.562382983970016,9.5751864e-05,0.00033365368,0.0,0.25,-1.6558449,-1.6738954,1.4534879,-5.672881,3.512467,0.9004926108374383,4.680059523809527,0.438423645320197,0.7544642857142839,0.8850643215189105,3.118979122881181,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Hebp2,1.6558449,11.580096230506893
Hrnr_Goblet,0.9403999999999999,0.05960000000000004,2.7586720169891707,3.96429e-05,5.4424832e-05,0.0,0.25,-1.039928,-1.164407,2.6773653,-8.564311,8.292391,0.17733990147783252,0.17529761904761904,0.0687192118226601,0.02351190476190476,0.3348431557544974,0.09864693875909683,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Hrnr,1.039928,4.9358299994468675
Id1_Goblet,0.9300999999999999,0.06990000000000002,2.5887649028008064,0.00033655713,0.00011958367,0.0,0.25,1.6596984,1.6849205,1.3230245,-2.5817409,5.6681595,2.611330049261084,1.2785714285714278,0.4411330049261084,0.2785714285714284,2.3154731422051937,1.0114232449361116,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Id1,1.6596984,6.505323975086203
Igfbp7_Goblet,0.9448,0.05520000000000003,2.840245685097764,0.00034735573,0.00012780091,0.0,0.25,1.8808181,1.9831641,2.5252674,-6.319467,8.835662,2.322167487684729,1.1773809523809522,0.3093596059113301,0.13869047619047625,2.2867827124913567,0.7856748751443337,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Igfbp7,1.8808181,10.358941226005552
Il18_Goblet,0.9401,0.05989999999999995,2.7556481088280695,4.6996196e-05,0.0003127493,0.0,0.25,-2.2689514,-2.2412276,2.033693,-7.4328804,4.121049,0.496551724137931,4.525,0.21502463054187196,0.5747023809523798,0.3430860648872118,3.1485448212887523,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Il18,2.2689514,15.061807260513302
Il36a_Goblet,0.9572,0.042800000000000005,3.10817187258447,6.8259505e-05,7.145713e-05,0.0,0.25,-1.0924098,-1.3144681,3.9736285,-11.850716,12.204725,0.838423645320197,0.8333333333333331,0.10320197044334976,0.13244047619047614,0.7088300873276872,0.6771207599433138,1.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Il36a,1.0924098,9.472428350448592
Il36rn_Goblet,0.9478,0.05219999999999997,2.8994195261243085,3.798357e-05,9.003353e-05,0.0,0.25,-1.6347556,-1.7240133,3.0731769,-9.51832,8.100296,0.23719211822660097,0.8613095238095235,0.0229064039408867,0.18869047619047602,0.1547413933759914,0.7280446790353571,1.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Il36rn,1.6347556,5.204616420269007
Itgb5_Goblet,0.9390000000000001,0.061,2.7349916071628204,4.2167936e-05,1.4787325e-05,0.0,0.25,1.6988378,1.7256963,2.0670354,-5.0955257,7.5990524,0.28940886699507384,0.17589285714285718,0.16896551724137931,0.1154761904761905,0.22625757900177768,0.12675611852248336,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Itgb5,1.6988378,0.9426499441266059
Kcnk5_Goblet,0.9502,0.049799999999999955,2.965215465067942,3.088278e-05,7.882728e-06,0.0,0.25,2.1228452,2.1824715,1.5114219,-3.3236437,6.891451,0.23177339901477834,0.075,0.1517241379310345,0.05238095238095238,0.26751007658304815,0.05760805338029676,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Kcnk5,2.1228452,0.6772450003027912
Klk1b11_Goblet,0.9394,0.06059999999999999,2.742168100456385,2.9634453e-05,0.00011571542,0.0,0.25,-1.6571774,-1.6793334,2.4221191,-8.729759,6.9031434,0.1522167487684729,1.5898809523809523,0.03152709359605911,0.1294642857142857,0.08642713466689089,0.9183000531574101,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Klk1b11,1.6571774,8.900714683532714
Klk1b9_Goblet,0.9337,0.06630000000000003,2.6449662819221,1.0328542e-05,3.6618498e-05,0.0,0.25,-1.4193118,-1.3733394,2.629877,-9.765454,6.970259,0.07167487684729064,0.6592261904761904,0.04014778325123153,0.11488095238095239,0.05998606140169948,0.41950193440881806,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Klk1b9,1.4193118,2.8525820708274794
Krt6b_Goblet,0.9525,0.04749999999999999,2.9989994566772435,5.0781462e-05,6.1610386e-05,0.0,0.25,-1.4736711,-1.5539675,3.7568817,-10.733707,11.020315,1.1334975369458127,0.8619047619047617,0.09187192118226603,0.15178571428571427,1.046660951697441,0.5445510312672879,1.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Krt6b,1.4736711,2.8872454440593707
Lgi2_Goblet,0.9257,0.07429999999999998,2.522641647463665,2.9357105e-05,1.0375128e-05,0.0,0.25,1.2836335,1.3227026,2.4639897,-8.532564,8.819157,0.19458128078817732,0.10178571428571428,0.1002463054187192,0.04702380952380952,0.1424092810632956,0.06867232118845606,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Lgi2,1.2836335,1.093191058635711
Lrp1_Goblet,0.9272,0.07280000000000003,2.5450874406296515,3.3529603e-05,1.3469483e-05,0.0,0.25,1.793153,1.6132464,1.7219813,-3.6085477,7.3831353,0.34359605911330054,0.13422619047619053,0.2519704433497537,0.10833333333333335,0.3759231354921032,0.10528956490449934,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Lrp1,1.793153,0.7409834712743759
Ly6g6c_Goblet,0.9517,0.048299999999999954,2.982155988881625,0.00017122741,0.00066545466,0.0,0.25,-2.1911345,-2.2602446,3.14582,-9.4951515,7.9088507,2.042118226600985,10.117559523809527,0.2635467980295567,0.5755952380952369,1.7090523289552575,7.412035854239669,1.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Ly6g6c,2.1911345,27.21925643920897
