NAME	TITLE	SCORE	
Rpl18		3.47394	
Pkp1		3.4730308	
Tubb4b		3.4669037	
Elf1		3.46098	
Itga6		3.4601183	
Eef1b2		3.457877	
Gng12		3.451123	
Cd9		3.449536	
Casp12		3.4459145	
Fat2		3.438227	
Slc4a7		3.4375935	
Rpl24		3.4361374	
Tmem40		3.430544	
Rps16		3.4271173	
Parp14		3.4269722	
B4galt1		3.425176	
Rab32		3.4233606	
Itga2		3.423021	
Rps26		3.4140606	
Spsb1		3.3974931	
Gda		3.388349	
Ets1		3.386855	
Apol9b		3.3864064	
Hacd2		3.3833263	
Unc45a		3.3809645	
Rpl3		3.373918	
Plscr3		3.3701878	
Rpl26		3.3579519	
Atf3		3.357341	
Selenow		3.3552337	
Rplp2		3.3550863	
Acot9		3.3549237	
Hspa1b		3.3520613	
Mall		3.34816	
Serinc2		3.3456752	
Rapgefl1		3.344363	
Prelid1		3.3430595	
Serpinb6a		3.342376	
Aqp3		3.3383985	
Endod1		3.3338363	
Sorcs2		3.3312051	
Arpc1b		3.3247776	
Gna15		3.3242457	
Ets2		3.3158624	
Sh3kbp1		3.3146799	
Cdc42ep5		3.313366	
Rpl35		3.3122566	
Xdh		3.3084717	
Thoc6		3.308027	
Cyp2j6		3.2817085	
Dynlt3		3.2726524	
Rgmb		3.2681408	
Sf3b6		3.264696	
Gata3		3.26239	
Rpl36		3.257916	
Prag1		3.25333	
Fat1		3.2421694	
Ctnna1		3.2421575	
Pmaip1		3.2396524	
Klf4		3.2294986	
Eif2ak2		3.2283926	
Pkm		3.2277966	
Ctsb		3.2200217	
Cpe		3.2170413	
Ptges		3.2159367	
Avpi1		3.208136	
Rpl8		3.206233	
Lgals9		3.2038903	
Rps24		3.2011645	
Spink5		3.2008793	
Pak1		3.194998	
Clca3a1		3.1926088	
Amd2		3.1883912	
Hdgf		3.1824336	
Jun		3.1785214	
Sema3f		3.1776016	
Sat1		3.1770062	
Prkci		3.1709116	
Ncam1		3.153258	
Dusp1		3.150406	
Rpl37		3.1456444	
Trim30a		3.1429827	
Rps23		3.1428947	
Ptma		3.1425204	
Ppia		3.141409	
Cd47		3.1312804	
Uqcc2		3.1234787	
Twsg1		3.1214528	
Nbl1		3.1210525	
B3gnt3		3.1161773	
Slc25a39		3.112924	
Tpd52		3.1119874	
Erap1		3.1094992	
Pgam1		3.1065042	
Ddr1		3.1035228	
Col7a1		3.1024868	
H6pd		3.0998712	
Itgb6		3.0990453	
Fam83h		3.0946653	
Antxr1		3.092254	
Plxnb1		3.0840445	
Hoxc10		3.0834503	
Hs3st1		3.082255	
Fgfr2		3.078918	
Fibin		3.073312	
Cavin3		3.0716124	
Rpl14		3.0703642	
Fads2b		3.0645444	
Pkp3		3.0486968	
Actg1		3.0462122	
Limk2		3.0433059	
Tmem205		3.0425274	
Ms4a10		3.040155	
Rflnb		3.0315607	
Ier3		3.028112	
Psmc2		3.0245278	
Snai2		3.02416	
Serpinb1a		3.0215611	
Tbc1d2		3.0191436	
Gpx2		3.0185542	
Dgka		3.0095403	
Cers6		3.005207	
Sh3bgrl3		3.0039678	
Gng5		2.993198	
Crip2		2.9915936	
Itgb5		2.989582	
Prdx6		2.9881184	
Tmem131		2.981994	
Rpl7a		2.9808862	
Rnf144b		2.9795291	
