external_gene_name,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ccl21a,0.994,0.006000000000000005,5.1099760808236026,0.009839578,0.0006437698,0.0,0.25,5.0108404,5.2180376,1.7822556,-2.1794858,10.597746,128.07432110528836,7.2237963051598335,0.9933301572176801,0.5750454675983842,165.85813847719655,6.9966440782461445,True,0 vs Rest,0,Rest
Acta2,0.9916,0.008399999999999963,4.771086913921002,0.0009214881,8.202437e-05,0.0,0.25,4.353628,4.374009,1.9059659,-2.5654716,10.36581,7.955693187232026,0.7278165980664274,0.5812291567412865,0.16756006509045554,10.414981519667307,0.6562926070561558,True,0 vs Rest,0,Rest
Tagln,0.9916,0.008399999999999963,4.771086913921002,0.0016332838,9.038527e-05,0.0,0.25,5.667196,6.0305834,1.9286693,-2.460041,11.617559,12.737494044783277,0.5708337321719219,0.7903763696998262,0.1430075619795188,16.285276340459156,0.6377685738391523,True,0 vs Rest,0,Rest
Ctsl,0.987,0.013000000000000012,4.329719922873182,0.0029664135,0.00059579895,0.0,0.25,3.2391884,3.4086156,1.4897313,-4.8004036,7.3523173,29.30061934254408,9.05992150856681,0.9957122439256362,0.6273092753900554,35.52605883660388,6.918382945042922,True,0 vs Rest,0,Rest
Gas1,0.9854,0.014599999999999946,4.212025446612466,0.00044429334,7.9191246e-05,0.0,0.25,4.0468655,4.280921,2.2805555,-6.4961348,12.871268,2.956169604573604,0.39145209150952837,0.7555979037636681,0.09304106442041021,4.160672473611611,0.5666912228978254,True,0 vs Rest,0,Rest
Ifi27l2a,0.9846,0.01539999999999997,4.157867318710489,0.0060392627,0.0008369108,0.0,0.25,3.6642547,3.8534417,1.6406744,-3.4474888,8.937433,54.18866126727008,9.732889824829847,0.9971414959504098,0.6915861012730358,70.48651192973824,9.312288149120358,True,0 vs Rest,0,Rest
Stmn2,0.9844,0.015599999999999947,4.14476077339445,0.00011572141,2.134455e-05,0.0,0.25,2.7626193,2.6763768,1.392444,-1.727952,8.375966,0.8404001905669335,0.21317124533358794,0.1534063839923774,0.06269742509811313,1.0358256288959082,0.15539515556312158,True,0 vs Rest,0,Rest
Lifr,0.9844,0.015599999999999947,4.14476077339445,0.00063763454,0.00014602089,0.0,0.25,3.038747,3.272221,1.5942283,-3.5331926,7.7550535,4.744640304907121,0.9512778788168649,0.9137684611719487,0.28376567435627315,6.040429078971329,1.1558117244135249,True,0 vs Rest,0,Rest
Scx,0.983,0.017000000000000015,4.057395198028768,0.00015965328,2.1937127e-05,0.0,0.25,3.707615,3.8509297,1.8015039,-2.83953,10.103557,1.1681753215816872,0.09122236048626489,0.44592663172938385,0.04747774480712087,1.564856792338772,0.10852203998906679,True,0 vs Rest,0,Rest
Sh3pxd2b,0.9814,0.01859999999999995,3.965818015491911,6.919755e-05,1.873721e-05,0.0,0.25,2.7201579,2.757749,1.593827,-3.1840534,8.100568,0.5459742734635432,0.11931655020580381,0.3758932825154765,0.0871542069493652,0.6825565701562927,0.13918279901076713,True,0 vs Rest,0,Rest
Flna,0.9812,0.01880000000000004,3.9549189208252784,0.0003561944,8.222063e-05,0.0,0.25,2.8332481,3.0383902,1.5267565,-2.6644497,7.4343233,2.903763696998572,0.7131712453335801,0.7932348737493734,0.3144443380875004,3.4471428185317294,0.7156718372980412,True,0 vs Rest,0,Rest
Tpm2,0.9806,0.019399999999999973,3.9228910578819054,0.0016681808,0.00027440637,0.0,0.25,3.1960044,3.3532095,1.438354,-2.0949678,7.5051765,13.497856121962855,3.0302479180627073,0.967603620771755,0.5810759069589616,15.789901713787525,2.424738808017359,True,0 vs Rest,0,Rest
Wfikkn2,0.9806,0.019399999999999973,3.9228910578819054,0.00032241302,4.8200396e-05,0.0,0.25,3.494084,3.624341,1.554092,-2.8853369,9.444776,2.305383515959953,0.2724227050827988,0.7875178656502789,0.13826935962477663,3.0986280156398607,0.31313314150066446,True,0 vs Rest,0,Rest
Rcn3,0.9804,0.01959999999999995,3.9124305854134556,7.6741584e-05,1.2696473e-05,0.0,0.25,3.0371597,3.1378279,1.4857444,-2.946145,8.12842,0.5555026202953691,0.0591078778596719,0.3606479275845579,0.043361730640374546,0.7338096861483543,0.06040911077478985,True,0 vs Rest,0,Rest
Plek2,0.9804,0.01959999999999995,3.9124305854134556,9.149978e-05,2.4108369e-05,0.0,0.25,2.214281,2.2351832,1.024684,-1.2288084,5.5261917,0.7508337303477695,0.1805781564085379,0.4721295855169002,0.11893366516703911,0.9223022566881393,0.1424405266004313,True,0 vs Rest,0,Rest
Vwa1,0.9804,0.01959999999999995,3.9124305854134556,9.0885645e-05,1.4755642e-05,0.0,0.25,3.2797618,3.428111,1.5003777,-2.2252884,7.337364,0.7675083373034617,0.0916052455250323,0.45402572653643436,0.07116875658083645,0.9795236470191807,0.1055253394248439,True,0 vs Rest,0,Rest
Serpinh1,0.9802,0.01980000000000004,3.9020741999265773,0.00030624864,6.5768414e-05,0.0,0.25,2.806864,2.6830993,1.5347856,-1.7284422,8.642437,2.3563601715102207,0.44237580166556184,0.8146736541209777,0.19579783669952508,3.0168041242151444,0.39098697348987443,True,0 vs Rest,0,Rest
