feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Ly9,2.3951717656544824,0.4842278339866779,"B cell,CD4-positive, alpha-beta T cell,CD8-positive, alpha-beta T cell,DN4 thymocyte,Kupffer cell,T cell,double negative thymocyte,immature NK T cell,mature NK T cell,natural killer cell,professional antigen presenting cell,regulatory T cell",0.8623157739639282,"spleen,thymus",0.5944395661354065,0.8440775,False,True,False,False,False,False
Slamf7,3.309341762697423,0.2873720400764692,"dendritic cell,immature NK T cell,late pro-B cell,plasma cell",2.4566802978515625,spleen,0.3598494827747345,0.7238018,False,False,False,False,False,False
Cd48,2.876146874207305,0.3806554818514248,"dendritic cell,immature NK T cell,kidney cell,monocyte,myeloid dendritic cell,natural killer cell,non-classical monocyte,promonocyte,regulatory T cell",4.553353309631348,"lung,spleen",2.0182363986968994,0.7867649,False,False,False,False,False,False
Slamf1,2.3939921366522143,0.4844818532659281,"B cell,DN3 thymocyte,DN4 thymocyte,double negative thymocyte,immature T cell,professional antigen presenting cell,regulatory T cell,thymocyte",0.4986373484134674,"spleen,thymus",0.3112040162086487,0.85980135,True,True,False,False,False,False
Cd84,2.826384038145453,0.3913713253289692,"DN4 thymocyte,Kupffer cell,alveolar macrophage,double negative thymocyte,immature T cell,lung macrophage,macrophage,mast cell,microglial cell,neutrophil",2.6516644954681396,"spleen,thymus",1.3547272682189941,0.8058222,False,False,False,False,False,False
Slamf6,1.5941271408348734,0.6567234049269288,"CD4-positive, alpha-beta T cell,CD8-positive, alpha-beta T cell,DN3 thymocyte,DN4 thymocyte,T cell,double negative thymocyte,immature T cell,mature NK T cell,professional antigen presenting cell,regulatory T cell,thymocyte",0.68733811378479,"spleen,thymus",0.4469505548477173,0.9152804,True,True,True,True,False,False
Vangl2,1.4128473658403975,0.6957598796983988,"ependymal cell,glioblast,neural progenitor cell,pituitary gland cell,tanycyte",1.5925524234771729,diencephalon,1.2586017847061157,0.9286072,True,True,True,True,False,False
Nhlh1,0.2086373562368617,0.955072390765188,"glioblast,neural progenitor cell",0.12151144444942474,diencephalon,0.10692723840475082,0.9778382,True,True,True,True,True,True
Ncstn,4.11522769913882,0.1138339494233021,"Leydig cell,Sertoli cell,supporting cell",1.4504830837249756,mesonephros,1.0079041719436646,0.6253583,False,False,False,False,False,False
Copa,4.304956551813558,0.072978064804717,"glioblast,kidney collecting duct epithelial cell,kidney collecting duct principal cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,luminal cell of prostate epithelium",2.081012725830078,pancreas,1.9349417686462402,0.49916327,False,False,False,False,False,False
Pex19,4.146993926649086,0.1069934646597533,"Leydig cell,ciliated columnar cell of tracheobronchial tree,hepatocyte,mesothelial cell,supporting cell",0.9098031520843506,"gonad,mesonephros",0.9030412435531616,0.5927655,False,False,False,False,False,False
Dcaf8,4.008378317810774,0.1368427113146193,"astrocyte,ependymal cell,leptomeningeal cell,microglial cell,mural cell,native cell,oligodendrocyte,pericyte,pituitary gland cell,tanycyte",2.319648027420044,hypothalamus,1.4262663125991821,0.59402215,False,False,False,False,False,False
Pea15a,3.4346469462548583,0.2603890374948336,"endothelial cell of coronary artery,erythrocyte,fenestrated cell,glioblast,kidney capillary endothelial cell,mesangial cell,neural progenitor cell,smooth muscle cell",5.4238691329956055,"diencephalon,heart",2.661630630493164,0.72933143,False,False,False,False,False,False
Casq1,3.142008834783341,0.3234052247996591,"cardiac muscle cell,cell of skeletal muscle",2.77821946144104,"heart,hypothalamus,limb muscle",0.051587723195552826,0.75770545,False,False,False,False,False,False
Atp1a4,3.1725821906272222,0.3168216109678612,"cardiac neuron,ciliated columnar cell of tracheobronchial tree,ependymal cell,hepatic stellate cell,lung neuroendocrine cell,native cell,pericyte,pituitary gland cell,tanycyte",0.018084412440657616,"pancreas,primary motor cortex",0.010672612115740776,0.7508512,False,False,False,False,False,False
Igsf8,3.735634815425765,0.1955748277366482,"astrocyte,leptomeningeal cell,mural cell,native cell,pericyte",10.199112892150879,"hypothalamus,primary motor cortex",1.1426379680633545,0.67247844,False,False,False,False,False,False
Atp1a2,2.985945929980299,0.357011542141414,"astrocyte,leptomeningeal cell,mural cell,pericyte",34.49667739868164,trachea,1.874928593635559,0.80460304,False,False,False,False,False,False
