feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Fah,1.8770157278116288,0.5726593624410343,"brush cell,epithelial cell of proximal tubule,hepatocyte,kidney proximal convoluted tubule epithelial cell,kidney proximal straight tubule epithelial cell",4.4282002449035645,"kidney,liver",1.916334629058838,0.86459124,True,True,False,False,False,False
Zfand6,4.163605386930622,0.052070926081532,"erythroblast,granulocyte,granulocytopoietic cell,immature B cell,late pro-B cell,leptomeningeal cell,microglial cell,mural cell",3.5340774059295654,bone marrow,2.0021402835845947,0.4516581,False,False,False,False,False,False
Folh1,0.3021770647081288,0.9312032725273852,"astrocyte,brush cell,epithelial cell of proximal tubule,kidney proximal convoluted tubule epithelial cell,kidney proximal straight tubule epithelial cell,oligodendrocyte",2.9657304286956787,kidney,0.9615156650543213,0.9712385,True,True,True,True,True,True
Nox4,0.699970764872838,0.8406374818808046,"epithelial cell of proximal tubule,fibroblast of lung,kidney proximal convoluted tubule epithelial cell,kidney proximal straight tubule epithelial cell",5.840203762054443,kidney,1.6127574443817139,0.951731,True,True,True,True,True,True
Tyr,1.364904020233349,0.6892519622660025,"GABAergic neuron,ependymal cell,glutamatergic neuron,leptomeningeal cell,mural cell,native cell,pituitary gland cell,tanycyte",0.028718119487166405,primary motor cortex,0.026308294385671616,0.9034939,True,True,True,True,False,False
Grm5,0.002651817624738,0.999396260021877,"GABAergic neuron,glutamatergic neuron,neuron,oligodendrocyte precursor cell",13.97983455657959,"hypothalamus,primary motor cortex",12.609116554260254,0.998203,True,True,True,True,True,True
Ctsc,1.8943973264037293,0.5687020895668201,"Kupffer cell,kidney cell,leukocyte,lung macrophage,monocyte,myeloid cell,myeloid leukocyte,promonocyte",18.235055923461914,liver,7.849483966827393,0.88274115,True,True,False,False,False,False
Rab38,1.7325000821528176,0.6055612754287766,"DN3 thymocyte,basal cell of epidermis,epidermal cell,hematopoietic precursor cell,keratinocyte,keratinocyte stem cell,stem cell of epidermis,thymocyte",0.817924439907074,"skin of body,tongue",0.7142972946166992,0.8658632,True,True,False,False,False,False
Tmem135,2.651088141513773,0.3964261035040165,"astrocyte,ependymal cell,leptomeningeal cell,macrophage,microglial cell,native cell,neuron,oligodendrocyte,oligodendrocyte precursor cell,pituitary gland cell,tanycyte",2.5399043560028076,"hypothalamus,primary motor cortex",1.3511099815368652,0.8150547,False,False,False,False,False,False
Fzd4,2.78952540434314,0.364908057446729,"bronchial smooth muscle cell,endothelial cell,endothelial cell of coronary artery,fenestrated cell,kidney capillary endothelial cell,kidney collecting duct epithelial cell,kidney collecting duct principal cell,kidney cortex artery cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,mesothelial cell,smooth muscle cell of the pulmonary artery,vein endothelial cell",0.6922625303268433,mesonephros,0.5906139016151428,0.7682238,False,False,False,False,False,False
Prss23,3.061176988877821,0.3030610736367968,"adventitial cell,bronchial smooth muscle cell,endothelial cell of lymphatic vessel,fibroblast of lung,mesenchymal stem cell of adipose tissue,neuroendocrine cell,pancreatic stellate cell,smooth muscle cell of the pulmonary artery,smooth muscle cell of trachea,stromal cell,vein endothelial cell",7.62037992477417,adipose tissue,2.357224941253662,0.6989016,False,False,False,False,False,False
Me3,0.9588709537332728,0.7816936114952613,"GABAergic neuron,enterocyte of epithelium of large intestine,ependymal cell,glutamatergic neuron,kidney collecting duct epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle ascending limb epithelial cell,leptomeningeal cell,mural cell,native cell,oligodendrocyte precursor cell,pituitary gland cell,tanycyte",2.8194167613983154,primary motor cortex,2.642970323562622,0.94367254,True,True,True,True,False,False
Ccdc81,3.4317232411901903,0.2186987162191158,"ependymal cell,mural cell,neuron,pituitary gland cell,tanycyte",0.25378063321113586,hypothalamus,0.10204090923070908,0.71646094,False,False,False,False,False,False
Hikeshi,1.2475906124875316,0.7159607349829797,"female germ cell,male germ cell,neural progenitor cell,oocyte,oogonial cell,primordial germ cell",1.8972365856170654,ovary,1.787642240524292,0.9385643,True,True,True,True,False,False
Eed,4.159766734163365,0.0529448731117148,"immature NK T cell,macrophage,male germ cell,microglial cell,primordial germ cell,thymocyte",1.363971471786499,thymus,0.6082085371017456,0.43134946,False,False,False,False,False,False
Picalm,3.792307914399285,0.1366043139932918,"macrophage,mast cell,microglial cell,oligodendrocyte",7.392680644989014,None,1.690446138381958,0.5352773,False,False,False,False,False,False
Ccdc83,1.4252133483940608,0.675521322524907,"cardiac neuron,fibroblast of cardiac tissue,mesenchymal stem cell of adipose tissue",0.3004106283187866,heart,0.10735737532377243,0.9076749,True,True,True,True,False,False
Sytl2,3.261111979985362,0.2575418244881199,"bladder urothelial cell,epithelial cell of large intestine,hematopoietic stem cell,hepatocyte,kidney collecting duct epithelial cell,kidney collecting duct principal cell,kidney distal convoluted tubule epithelial cell,oligodendrocyte",3.101985216140747,large intestine,0.9817473888397217,0.6913716,False,False,False,False,False,False
Ccdc89,2.7169444261127627,0.3814325868111071,"Leydig cell,ciliated columnar cell of tracheobronchial tree,glioblast,granulosa cell,mesenchymal cell,mesothelial cell,native cell,neural progenitor cell,oligodendrocyte,ovarian surface epithelial cell,supporting cell",0.03298869729042053,"gonad,mesonephros",0.03015625849366188,0.81286764,False,False,False,False,False,False
Crebzf,3.303576216309898,0.2478739812433865,"astrocyte,ependymal cell,leptomeningeal cell,mural cell,native cell,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,pituitary gland cell,tanycyte",2.2642438411712646,hypothalamus,1.9002629518508911,0.75008214,False,False,False,False,False,False
Tmem126a,4.100823120233154,0.066364580354303,"GABAergic neuron,cardiac muscle cell,epithelial cell of proximal tubule,microglial cell,mural cell,native cell,pericyte",1.577718734741211,"hypothalamus,primary motor cortex",1.0389975309371948,0.53053695,False,False,False,False,False,False
Tmem126b,3.690047030196258,0.1598860749317651,"GABAergic neuron,interstitial cell of ovary,leptomeningeal cell,microglial cell,mural cell,native cell,neuron,oligodendrocyte,oocyte,pericyte",0.5260566473007202,hypothalamus,0.37227872014045715,0.57913864,False,False,False,False,False,False
Dlg2,0.0057252816211987,0.9986965237094416,"GABAergic neuron,glutamatergic neuron,neuron,oligodendrocyte,oligodendrocyte precursor cell,pituitary gland cell",39.89056396484375,"hypothalamus,primary motor cortex",38.501739501953125,0.9967557,True,True,True,True,True,True
Ccdc90b,3.395166608922792,0.2270215737789575,"female germ cell,male germ cell,neural progenitor cell,oocyte,oogonial cell,primordial germ cell",0.9294703006744385,ovary,0.8882813453674316,0.72005284,False,False,False,False,False,False
Ankrd42,1.4822335083570215,0.6625395285253998,"GABAergic neuron,ependymal cell,glutamatergic neuron,native cell,neuron,oogonial cell,pituitary gland cell,tanycyte",0.5033829808235168,"hypothalamus,primary motor cortex",0.4602775275707245,0.9052833,True,True,True,True,False,False
Pcf11,4.0544682923808,0.0769181955397531,"glioblast,leptomeningeal cell,mesangial cell,microglial cell,mural cell,neuroendocrine cell,smooth muscle cell of trachea",1.517293930053711,trachea,0.9443434476852417,0.5357261,False,False,False,False,False,False
Rab30,3.068562611836473,0.3013795870210185,"astrocyte,ependymal cell,leptomeningeal cell,mural cell,native cell,oligodendrocyte precursor cell,pericyte,tanycyte",3.117339849472046,"hypothalamus,primary motor cortex",0.8194901943206787,0.77416325,False,False,False,False,False,False
