feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Slc15a1,3.223951344648133,0.5574779198461861,"brush cell,enterocyte of epithelium of large intestine,epithelial cell of large intestine,large intestine goblet cell",0.24508419632911682,large intestine,0.16572237014770508,0.9547191,True,True,True,True,True,True
Dock9,4.327434340316025,0.4060129818073607,"endothelial cell,microglial cell,mural cell,oligodendrocyte,oligodendrocyte precursor cell,pericyte",5.835555553436279,"hypothalamus,primary motor cortex",1.8231351375579834,0.9143186,True,True,True,True,False,False
Ubac2,6.319385557751317,0.1325962015672751,"double negative thymocyte,macrophage,microglial cell,native cell,oligodendrocyte",2.6335673332214355,thymus,0.9399035573005676,0.79172456,False,False,False,False,False,False
Gpr18,4.929825588742324,0.3233282884534812,"B cell,DN4 thymocyte,T cell,double negative thymocyte,erythroid progenitor cell, mammalian,late pro-B cell,macrophage dendritic cell progenitor,mature NK T cell,natural killer cell,plasma cell,professional antigen presenting cell,regulatory T cell",1.891530990600586,"spleen,thymus",1.3682208061218262,0.87818474,True,True,False,False,False,False
Gpr183,4.725853476888429,0.3513256598718774,"B cell,CD4-positive, alpha-beta T cell,CD8-positive, alpha-beta T cell,DN4 thymocyte,Langerhans cell,T cell,macrophage,mature NK T cell,microglial cell,professional antigen presenting cell,regulatory T cell",2.158749580383301,spleen,1.2235138416290283,0.881559,True,True,False,False,False,False
Timm8a2,1.983396112450772,0.7277575001534348,"female germ cell,oocyte,oogonial cell",0.14861297607421875,ovary,0.04596690833568573,0.96970844,True,True,True,True,True,True
Tm9sf2,6.555686968314402,0.1001612853520399,"brush cell,ciliated columnar cell of tracheobronchial tree,enterocyte of epithelium of large intestine,epithelial cell of large intestine,hepatocyte,kidney collecting duct epithelial cell,kidney collecting duct principal cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,large intestine goblet cell",2.966188669204712,large intestine,2.6159536838531494,0.6882761,False,False,False,False,False,False
Clybl,4.4350817211440745,0.391237218219546,"astrocyte,brush cell,ependymal cell,epithelial cell of proximal tubule,leptomeningeal cell,mural cell,native cell,pituitary gland cell,tanycyte",3.693636655807495,"hypothalamus,kidney,primary motor cortex",0.6316366195678711,0.9196827,True,True,True,False,False,False
Zic5,1.9113090683936729,0.7376522241359298,"glioblast,leptomeningeal cell,neural progenitor cell",1.8982583284378052,diencephalon,2.518587589263916,0.98096704,True,True,True,True,True,True
Zic2,1.5714923321721683,0.7842957348183879,"glioblast,leptomeningeal cell,neural progenitor cell,pericyte",2.85715389251709,diencephalon,1.264295220375061,0.9866325,True,True,True,True,True,True
Pcca,3.9063434188109816,0.463812250654154,"astrocyte,ependymal cell,leptomeningeal cell,microglial cell,mural cell,pericyte,pituitary gland cell,tanycyte",5.617521286010742,"hypothalamus,primary motor cortex",1.4044073820114136,0.9371072,True,True,True,True,False,False
Ggact,3.0636624821480902,0.5794792943324222,"astrocyte,ependymal cell,leptomeningeal cell,microglial cell,mural cell,native cell,pericyte,pituitary gland cell,tanycyte",3.4645333290100098,"hypothalamus,primary motor cortex",0.5357255935668945,0.96710235,True,True,True,True,True,True
