,external_gene_name,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,gene
10,Gpc3,0.9782,0.02180000000000004,3.8038037298175786,0.00010415699,1.6289116e-05,0.0,0.25,3.6300406,3.7469616,2.1257327,-3.9051876,9.032298,1.395222584147666,0.17140482128013265,0.36373507057546156,0.06417290108063138,0.9993704309889248,0.11443853084439409,True,"Lung, basal vs Rest","Lung, basal",Rest,Gpc3
11,Pigr,0.978,0.02200000000000002,3.794466772356098,0.0004650533,0.00010411712,0.0,0.25,3.7728543,4.14309,2.6849043,-5.6674814,10.545508,6.539630836047742,1.3475477971737437,0.5504885993485343,0.14912718204488848,4.794035462880264,1.0323035121569681,True,"Lung, basal vs Rest","Lung, basal",Rest,Pigr
12,Sorbs2,0.9778,0.022199999999999998,3.7852124210430027,0.00026876188,4.9697588e-05,0.0,0.25,3.2174761,3.4309049,1.9031628,-4.0162096,8.165454,3.200868621064062,0.4659185369908483,0.697068403908795,0.1623441396508721,2.953408600310385,0.39624214042197226,True,"Lung, basal vs Rest","Lung, basal",Rest,Sorbs2
13,Rptn,0.9776,0.022399999999999975,3.7760391933569983,0.0012866294,0.00025513142,0.0,0.25,4.589242,5.156826,2.7462993,-6.161499,10.629566,23.431053203040072,4.132585203657504,0.7882736156351794,0.20565253532834046,16.079267198607894,2.987924376305416,True,"Lung, basal vs Rest","Lung, basal",Rest,Rptn
14,St3gal4,0.9774,0.022599999999999953,3.766945646311264,0.00054043054,9.929454e-05,0.0,0.25,3.5992296,3.9546332,2.0326593,-4.145481,8.6753845,7.396308360477673,1.1156275976724803,0.7839305103148754,0.15378221113881982,5.812623203263935,0.8389751357068007,True,"Lung, basal vs Rest","Lung, basal",Rest,St3gal4
15,Adgrf4,0.9766,0.023399999999999976,3.731340712153176,5.3242435e-05,1.3279185e-05,0.0,0.25,3.166262,3.4890475,1.9694647,-4.1531544,8.255864,0.704668838219327,0.11778886118038279,0.3441910966340935,0.04896093100581863,0.5147603714982582,0.08393110634617161,True,"Lung, basal vs Rest","Lung, basal",Rest,Adgrf4
16,Serpina7,0.9764,0.023599999999999954,3.722625213000223,0.00033626502,5.5428303e-05,0.0,0.25,3.902826,4.2005987,2.4146345,-4.078328,10.740321,5.491856677524414,0.5763923524521999,0.36264929424538556,0.06425602660016588,3.1746015102864096,0.38624084768174727,True,"Lung, basal vs Rest","Lung, basal",Rest,Serpina7
17,Cxcl5,0.9764,0.023599999999999954,3.722625213000223,0.00016966283,3.5599493e-05,0.0,0.25,3.7794714,4.114772,2.5670664,-5.436349,11.29453,2.077090119435397,0.40748129675810235,0.22366992399565697,0.05494596841230228,1.6827578385657014,0.35002908432127344,True,"Lung, basal vs Rest","Lung, basal",Rest,Cxcl5
18,Lratd1,0.976,0.02400000000000002,3.705408349644468,0.0003058861,5.680501e-05,0.0,0.25,3.4372761,3.7138524,1.8723775,-3.537284,8.99152,4.301845819761117,0.6322527015793746,0.7502714440825192,0.15403158769742328,3.140744321193405,0.4810851643316664,True,"Lung, basal vs Rest","Lung, basal",Rest,Lratd1
19,Cyp2g1,0.9752,0.024800000000000044,3.671798532024705,0.00027232367,4.2758726e-05,0.0,0.25,3.619337,3.8496618,2.464184,-6.335388,10.167663,4.091205211726383,0.28694929343308245,0.3040173724212813,0.048877805486284134,2.376796647501697,0.19041525336839504,True,"Lung, basal vs Rest","Lung, basal",Rest,Cyp2g1
20,Pcx,0.975,0.025000000000000022,3.663561256386136,4.5776706e-05,1.3788159e-05,0.0,0.25,2.0922556,2.2123818,1.1963657,-3.3638039,5.406789,0.5418023887079263,0.1302576891105582,0.33441910966340943,0.09426433915212114,0.37791555317997216,0.09479398147623545,True,"Lung, basal vs Rest","Lung, basal",Rest,Pcx
21,Rad51b,0.9748,0.0252,3.65538794066687,0.0001372773,2.5397521e-05,0.0,0.25,2.8068032,3.0361037,1.4396447,-3.3441086,6.590248,2.1976112920738333,0.33832086450539767,0.5428881650380023,0.15494596841230265,1.3775642481812667,0.243637249875371,True,"Lung, basal vs Rest","Lung, basal",Rest,Rad51b
22,Pdzk1ip1,0.9742,0.025800000000000045,3.631241752112877,0.00051718863,0.00010962627,0.0,0.25,3.9014227,4.1535387,2.4823976,-4.476491,10.363603,7.640608034744764,1.2511221945137179,0.8317046688382196,0.15926849542809604,5.061979141781234,0.8616957771600666,True,"Lung, basal vs Rest","Lung, basal",Rest,Pdzk1ip1
