"probes","symbols","Row.names","WT_1","WT_2","WT_3","WT_4","WT_5","KO_1","KO_2","KO_3","KO_4","KO_5","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1415670_at","Copg1","1415670_at",9.00902742632688,9.26927000623711,9.38298133842557,9.34165482489431,9.34464166938294,9.2734050631176,9.43197256031085,9.50564100021856,9.49681763467893,9.56597609627426,0.18524741786668,9.3621387619867,2.14836306245757,0.052964827245794,0.200467159584806,-4.95494607295832
"1415671_at","Atp6v0d1","1415671_at",10.2194986565178,10.2894381951454,10.5040235485268,10.4722891435234,10.3975162379409,10.8178167709451,10.7357015553083,10.7224674760456,10.6722946802171,10.5611199869716,0.325326937566723,10.5392166251142,4.26216472282222,0.00112187699851399,0.0136750741918864,-1.14330245765561
"1415672_at","Golga7","1415672_at",10.0683212178337,10.0622319621484,10.1723871276212,10.0751810865178,10.1547593876379,10.1542320533635,10.1448421364951,10.2247314016302,10.2244453914957,10.1423922486453,0.0715524899741755,10.1423524013389,1.24718080870244,0.236300663978345,0.496269906686256,-6.26456779504067
"1415673_at","Psph","1415673_at",7.85628227917136,8.03700260796051,8.00034992381775,7.84293937077454,7.81253859199217,7.25589600387317,7.55045837143556,7.42470832111884,7.4688506208964,7.52393481317649,-0.465052928643175,7.67729609042168,-6.06725101075249,5.79270697046996e-05,0.00165656286601327,1.89726361028103
"1415674_a_at","Trappc4","1415674_a_at",9.74710656107625,9.61548140600047,9.11689286075553,9.21616454109138,9.23858637848265,9.42521474914289,9.30233381235641,9.26607133942789,9.29776767317545,9.28993795233893,-0.0705812441929439,9.35155572738478,-0.607932194759688,0.554648816057405,0.775147222517127,-6.85492455185186
"1415675_at","Dpm2","1415675_at",9.14657598147397,9.00909714930106,8.99807071208345,8.95255090370246,8.99859336308124,9.06819718741329,9.10087581054276,9.09452243708272,9.07091427568687,9.04862023878591,0.0556483679738733,9.04880180591537,0.94576842593236,0.36306102920565,0.623834786581988,-6.58683063600579
"1415676_a_at","Psmb5","1415676_a_at",10.8132572374853,10.9675493517539,10.7732983065997,10.6816177502815,10.625878395423,10.7976751422371,10.760120460056,10.6483878737931,10.7456474360164,10.775801612394,-0.0267937034093553,10.758923356604,-0.362782854604497,0.723123928577005,0.876089787414684,-6.98029696828569
"1415677_at","Dhrs1","1415677_at",8.75168510827046,8.74602126850409,8.99078080779599,8.86094185355707,8.7121438357896,9.05157956123028,8.96789553712912,9.03356258378978,8.91903587342609,8.91125199618704,0.164350535569019,8.89448984256795,2.32711299193465,0.0384205312935237,0.161239798766701,-4.65297670467895
"1415678_at","Ppm1a","1415678_at",9.56959912750751,9.69796655075517,9.90936464868436,9.8840218146227,9.96499347107696,9.92711452533267,9.95891863508047,10.0110206220922,9.79709811638693,9.82424357827177,0.0984899729034776,9.85443410898108,1.14045361029183,0.276513578555993,0.541395220597084,-6.38687903819496
"1415679_at","Psenen","1415679_at",11.0245523268187,10.9778738395046,10.8969831351297,10.7857770993205,10.7830190877271,11.1761550685464,10.9824971708456,10.9313984459281,10.9481297076317,10.9339122789612,0.100777436682469,10.9440298160414,1.33087496818559,0.208148823325394,0.461517136856525,-6.16281444700599
"1415680_at","Anapc1","1415680_at",8.40985197325822,8.50408643288321,8.78989321431179,8.72195716614892,8.60015588608186,8.36609070869524,8.63260456274337,8.5667285973211,8.51963998733508,8.59074018077903,-0.0700281271620327,8.57017487095578,-0.817978397609791,0.429431996723384,0.681485309085902,-6.70056689204717
"1415681_at","Mrpl43","1415681_at",9.57293228942759,9.52627846545136,9.3686686191741,9.28506000060711,9.18202692842567,9.59833524068195,9.38898464327102,9.39146615335554,9.46830655398923,9.42312431621171,0.067050120884721,9.42051832105953,0.786300567046277,0.447055174983887,0.696560334655852,-6.72649549295178
"1415682_at","Xpo7","1415682_at",6.71449377725115,6.80356357865517,6.73808813762877,6.58211463701144,6.62721299049242,6.69102433004085,6.58381119159906,6.5639081185405,6.69063331595974,6.76623537063148,-0.0339721588534658,6.67610854478106,-0.496803678649147,0.62837110443754,0.822431445521851,-6.91929482446528
"1415683_at","Nmt1","1415683_at",11.5328550834972,11.6334237629028,11.633880574819,11.5614804667032,11.5089149690728,11.5912189092569,11.7066917312761,11.6307459110983,11.6877393734704,11.638376268088,0.0768434672389553,11.6125327050185,1.31639447068597,0.212814175603971,0.467768026410385,-6.18077338437771
"1415684_at","Atg5","1415684_at",7.95254283749918,7.71175809189062,7.87911268889238,7.94619659215968,7.89363669476042,7.85364727807489,7.88836481140419,7.73988859693942,7.76894332680698,7.85369068847998,-0.0557424406993636,7.84877816069077,-0.831833239958672,0.421869342178842,0.675091782309542,-6.68893911477334
"1415685_at","Mtif2","1415685_at",8.47943207585941,8.49174689403584,8.60232826282391,8.48027320164116,8.6814127195763,8.16155140054092,8.3903931907743,8.55823139017402,8.50474165790054,8.54986385519951,-0.114082331869463,8.48999746485259,-1.31866245325812,0.212077885897611,0.466763845982244,-6.17797022748404
"1415686_at","Rab14","1415686_at",9.70584298818737,9.44595239643363,9.72284321395472,9.66222864697426,9.71774872734801,9.67999550699847,9.55310625815999,9.58277124717232,9.63632680740117,9.61127088311937,-0.0382290540093333,9.63180866757493,-0.549723307297349,0.592668779815214,0.799454845884058,-6.89017598636096
"1415687_a_at","Psap","1415687_a_at",11.3702183457098,10.8609265717826,11.2161044437478,11.1055279508392,11.2626943556018,11.5739794234869,11.3185081823467,11.3961115263397,11.2774324179877,11.1282186368139,0.175755703858737,11.2509721854656,1.65193813506606,0.124647783282697,0.342195280119862,-5.72990299125259
"1415688_at","Ube2g1","1415688_at",9.34072973405478,9.37098692017584,9.41271781336723,9.33175850337914,9.18777853317775,9.51991277564906,9.43116765842579,9.4316196170425,9.32146455464534,9.38772591765749,0.0895838038530918,9.37358620275749,1.35835630326375,0.199525311613376,0.450628523135051,-6.12833420110877
"1415689_s_at","Zkscan3","1415689_s_at",8.92264273368631,9.0064401149579,9.48510174137118,9.12303740975993,9.11596101135453,8.61343190431621,9.05837061728876,9.01178448661278,9.1598739598579,9.19516853001263,-0.122910702608317,9.06918125092181,-0.96741838639448,0.352571022300744,0.615407857103267,-6.56614866388792
"1415690_at","Mrpl27","1415690_at",10.0900831683949,10.3142481058667,10.1579428398778,10.1460876123461,10.0456334029808,10.2561741247735,10.189390202767,10.1500682612027,10.1771116554462,10.1827259365062,0.0402950102458792,10.1709465310162,0.616050703918627,0.549454725294486,0.77181902944025,-6.84974276778037
"1415691_at","Dlg1","1415691_at",9.73317817937087,9.95631118731558,10.1391086277791,10.1230840342823,10.1914614840068,9.58506111908176,10.1090421136926,10.0269470596025,9.88726997398974,10.0198021135605,-0.103004226565533,9.97712658926816,-0.899928177371623,0.385994109452647,0.643937561956515,-6.62928692719448
"1415692_s_at","Canx","1415692_s_at",11.5152816523358,11.7004938181908,11.7446232189166,11.7897520703956,11.8538961061405,11.2368708218223,11.7146777461763,11.5689630918694,11.9537429973317,12.0432834930546,-0.0173017431449729,11.7121585016234,-0.126225832049785,0.901659118375315,0.962833960401457,-7.04214565847226
"1415693_at","Derl1","1415693_at",8.34337428635521,8.17395690457712,8.37666992829909,8.36639972423356,8.35898018135744,8.66582194536038,8.74906826627632,8.71368028269614,8.90500258614989,8.72874738536651,0.428587888205367,8.53817014906717,6.22366661509597,4.57726668943753e-05,0.00141590744142882,2.1395662545913
"1415694_at","Wars1","1415694_at",6.23635006388423,6.5123963078851,6.55909437490857,6.36511806701968,6.53995416833489,6.29681730204213,6.47451262152341,6.50874951507541,6.67505649612563,6.53151418235496,0.0547474270178103,6.4699563099154,0.623257704499969,0.544866602342664,0.768756889510734,-6.8450887753438
"1415695_at","Psma1","1415695_at",10.769803056577,10.8122987820626,10.7784156630628,10.7381095752357,10.7217026354937,10.8141698650202,10.7421007228958,10.8281917943794,10.7348918928908,10.6710777554198,-0.00597953636519755,10.7610761743038,-0.102606377289739,0.919982830113754,0.969488379175931,-7.04505020072116
"1415696_at","Sar1a","1415696_at",9.8678369423305,9.84604350058765,10.1305464962378,10.1786776721393,10.1003913812146,10.0152863889179,10.0245522575633,9.95133877858631,10.0697326395036,10.0110216008043,-0.0103128654268811,10.0195427657885,-0.131193451911467,0.897812445491363,0.961240097426848,-7.04145865727849
"1415697_at","G3bp2","1415697_at",8.77585600355123,8.86063199752327,8.99208067586941,8.89108557365631,8.94567110878751,8.64634039038686,8.93123628185475,8.78054908467648,8.84776877488886,8.85163115405037,-0.0815599347060818,8.8522851045245,-1.13953247775282,0.276882408953817,0.541921757812634,-6.38789693138575
"1415698_at","Golm1","1415698_at",8.03602702729067,7.78038215324632,8.283880205354,8.21938316589686,7.75629711448892,7.34666530790762,7.06847670439828,7.33228105829417,7.2119594300654,7.2640376504496,-0.770509903032337,7.62993898173919,-6.94275468974463,1.61754434488612e-05,0.000675193716735741,3.20902047682818
"1415699_a_at","Gps1","1415699_a_at",9.99607751594333,10.1069249754856,10.0989570330566,10.0393905308773,9.93490507581862,9.93647290291631,10.0132560859638,10.0784873528342,10.0435677485551,10.0234641220508,-0.0162013837722093,10.0271503343502,-0.264769901496549,0.795713496679122,0.913643922999572,-7.0131081275789
"1415700_a_at","Ssr3","1415700_a_at",9.89005371027162,10.1738682338988,10.4375524527618,10.2651520440563,10.3319749890753,10.1101647202687,10.6029482302355,10.4830779200984,10.5503359435223,10.591376386695,0.247860354151246,10.3436504630884,2.0842966992515,0.0593437414966328,0.215392087980012,-5.06066631732161
"1415701_x_at","Rpl23","1415701_x_at",13.6499157273372,13.6487656137416,13.6328620960263,13.6612415514533,13.659679432259,13.6001109435215,13.6107348916363,13.6373520148917,13.5834731310998,13.62166019727,-0.0398266484795968,13.6305795599237,-0.759565757431137,0.462285118938831,0.707630946895689,-6.74765969582733
"1415702_a_at","Ctbp1","1415702_a_at",10.2333440525428,10.2247562379459,10.3616256002782,10.3024903059787,10.3038939679021,10.2960566413289,10.4361505932069,10.3864641528346,10.4488077451795,10.4512281149237,0.118519416565194,10.3444817412121,1.95236731850971,0.0748023100120435,0.249989933203734,-5.27357757979351
"1415703_at","Huwe1","1415703_at",9.4962148564932,9.46298309762646,9.69421004040772,9.81264972282009,9.66863247281362,9.5556488046922,9.84212204007639,9.82837865887599,9.71038062088556,9.68513865630505,0.0973957181348233,9.67563589709963,1.13493194638776,0.278730176397969,0.543922510498698,-6.39297084807782
"1415704_a_at","Cdv3","1415704_a_at",9.70429412074614,9.64221382901671,9.52169504601078,9.51934723281613,9.55843730225287,9.89068221798285,9.86778066083475,9.81769759659724,9.78742985245077,9.91592597444487,0.26670575429357,9.72255038331531,4.25094610659566,0.00114428338310473,0.013858076547855,-1.16345514700666
"1415705_at","Smim7","1415705_at",8.33850669169608,8.35968214514335,8.64853950292323,8.45099551586486,8.24090950908401,8.65313721011882,8.62492460737555,8.61699106770059,8.59273052539367,8.43178933136567,0.176187875448553,8.49582061066658,2.12209257533851,0.0554983563529574,0.206226564279371,-4.99846980405871
"1415706_at","Copa","1415706_at",10.3130855081513,10.559354814149,10.9221563619906,10.7712021398924,10.8514823367729,10.5000056905836,10.8482494656589,10.8651809825168,10.8352337543272,10.855404853884,0.0973587172028783,10.7321355907927,0.815662696147345,0.430704658494308,0.68216079515212,-6.7024933661293
"1415707_at","Anapc2","1415707_at",9.0114651686501,9.20616725106044,9.32565399869108,9.23613931574535,9.24598592506958,9.20025053375834,9.37150759201305,9.36205859278204,9.43017101048542,9.33528516365104,0.13477224669467,9.27246845519064,1.81877163641104,0.0941652419078984,0.288456603632964,-5.48180886015994
"1415708_at","Tug1","1415708_at",10.0738096582726,9.94556234905399,10.2001534083259,10.150209444419,10.2299194074781,9.97004987901154,10.1225566391103,9.95094877564835,10.0976629374807,10.0406579517369,-0.0835556169123599,10.0781530450537,-1.15977464086446,0.268864247762455,0.532716815097121,-6.36537704054991
"1415709_s_at","Gbf1","1415709_s_at",7.68357463405688,7.81836558122282,7.83934836535542,7.80738016899991,7.84259171533258,7.6180348076526,7.77479219795792,7.71431881845198,7.75833695991631,7.7827725347706,-0.0686010292436388,7.7639515783717,-1.10225048365242,0.292129755489371,0.557521331344199,-6.42853792709058
"1415710_at","Cox18","1415710_at",8.0007400367026,8.21612742779037,8.5581874906101,8.61806102458197,8.82452771275717,7.8851241840258,8.08447171968201,8.10885143059847,8.13197514875167,8.19762226197474,-0.361919789481902,8.26256884374749,-2.61215523773036,0.0228317507232747,0.11390871563832,-4.15426007511039
"1415711_at","Arfgef1","1415711_at",10.260095539516,10.1142673260322,10.4453220844263,10.3758697197592,10.3334732673725,10.2452773320019,10.2596873670007,10.1792783949472,10.1591816040543,10.1713762336404,-0.102845401092329,10.2543828868751,-1.43911934788005,0.175877620661273,0.419159333172719,-6.0240709743996
"1415712_at","Zranb1","1415712_at",8.13058564603245,8.14250661572714,8.20040037860679,8.29072379763571,8.36786550937041,8.58076378979661,8.39378358922411,8.66867065546651,8.53017708742215,8.38023658029441,0.284309950966259,8.36857136495763,3.64004560455091,0.00342821301360581,0.0300926109627551,-2.27590535645348
"1415713_a_at","Ddx24","1415713_a_at",8.61202997966618,8.87341304348166,8.91422745864945,9.0665978122876,8.91531757421973,8.9057779088716,8.88320540741739,8.84022326829873,8.87084479820118,8.85611821897336,-0.00508325330847192,8.87377554700669,-0.0634316897926267,0.950474971516253,0.981530697677211,-7.04854741666217
"1415714_a_at","Snrnp27","1415714_a_at",10.3651389377824,10.4173392544396,10.4872588200975,10.4855784752703,10.3727131665756,10.2182406370038,10.278970801856,10.2312822719115,10.3456573913637,10.3149834276027,-0.147778824885524,10.3517163183903,-2.48519190715834,0.0288176372115412,0.133168414910003,-4.37862630034258
"1415715_at","Tmem129","1415715_at",7.63819977780182,7.50867552495778,7.64731220675992,7.49638133472722,7.36108342544326,7.32498984930348,7.44904420616025,7.30430130280439,7.53785327964809,7.48425335525911,-0.110242055302934,7.47520942628653,-1.43174883862483,0.177933538051416,0.422256274646509,-6.03376337005311
"1415717_at","Rnf220","1415717_at",6.94016839524821,6.79960011270352,6.81379363040065,6.79577253135874,6.86880354502098,6.85474348969622,6.70583010078366,6.85270839561938,6.76872588231084,6.70739221014491,-0.0657476272354209,6.81075382932871,-1.0511577694982,0.314048263908611,0.580511117281128,-6.48243794731013
"1415718_at","Sap30l","1415718_at",9.26048371985482,9.24774265629881,9.04647157922669,9.16053868108441,9.07842448010977,9.4214305560139,9.13435546726557,9.29245094034241,9.16505521000867,9.14657503962195,0.073241219335598,9.1953528329827,0.947665309209472,0.362133194232283,0.623190216463302,-6.58503460481231
"1415719_s_at","Armc1","1415719_s_at",8.15160654014122,8.22478587217483,8.27404109285857,8.12173175125779,8.27781490458107,7.90592522994015,8.06623259152426,7.81923822287612,8.20336053320289,8.16480739236485,-0.178083238221042,8.12095441309217,-2.12493842686921,0.0552184949363578,0.205512550645387,-4.993766370082
"1415720_s_at","Mad2l1bp","1415720_s_at",8.08071042051041,8.15615944480241,7.98437687212556,8.03668975771874,8.03956317609545,8.42066766206118,8.11741261536773,8.1630897463527,8.04167086835391,7.99077320775789,0.087222885728174,8.1031113771146,1.04470471234698,0.316901556218722,0.583232743331868,-6.4890953301729
"1415721_a_at","Naa60","1415721_a_at",8.0915374689238,7.87982226998364,8.271944126161,8.35490509155553,8.32306768935402,8.11446947598512,8.09725671564732,8.20444202949185,8.13998409600276,8.03963949860088,-0.065096966050012,8.15170684617059,-0.708218770496104,0.4924387103464,0.730611084232449,-6.7864369954555
"1415722_a_at","Vta1","1415722_a_at",10.0077628678193,10.0279999621522,10.0363026249414,10.1090136356316,10.065160695126,9.88887214215925,9.94759939086825,10.0532120934569,9.97513766343509,9.94690042765614,-0.0869036136189845,10.0057961503246,-1.49879279079587,0.159959372717849,0.396108695379548,-5.94433097940549
"1415723_at","Eif5","1415723_at",10.7161788928409,10.9420700457577,10.9198150572387,11.0632533666193,11.0183047947569,10.8376655373553,10.8913917684531,10.9967842384687,10.7858304619541,10.7103586639265,-0.0875182974111635,10.8881652827371,-1.07310841472387,0.30448558271118,0.569912195628192,-6.45953872274639
"1415724_a_at","Cdc42","1415724_a_at",10.2298297855546,10.159114858574,10.3873501538244,10.4383030412423,10.47811515274,10.2787390136004,10.4166689774343,10.3419266118819,10.469299416328,10.3917637467318,0.0411369548082163,10.3591110757912,0.534067061412192,0.60312169530155,0.80668582947832,-6.89908336291804
